ID,Gender,Household income,Household size,Method of accessing water,Travel time,Amount spent,Volume per day dry,Volume per day wet,Availability of water,Quality of water,Willingness to pay,lon,lat,Location,date
55,female,75000,9,delivered,20,9000,180,200,not_often,fair,9000,7.567950587,9.029903408,AREA_A,6/4/2024
56,female,75000,7,delivered,30,7000,160,180,not_often,good,7500,7.568097334,9.02959654,AREA_A,6/5/2024
57,female,75000,8,delivered,40,8000,140,160,not_often,fair,8500,7.568317384,9.029154322,AREA_A,6/5/2024
58,female,75000,6,carried,20,9000,180,200,often,fair,9000,7.568400353,9.028874332,AREA_A,6/5/2024
59,female,NULL,NULL,delivered,40,8000,140,160,often,fair,8500,7.568528088,9.028775364,AREA_A,6/5/2024
60,female,75000,6,carried,35,5000,120,140,often,fair,5500,7.568848477,9.028261197,AREA_A,6/5/2024
61,female,80000,7,delivered,30,7000,160,180,often,good,7500,7.569032141,9.027818836,AREA_A,6/5/2024
62,female,40000,7,delivered,60,3000,80,100,not_often,good,3000,7.569215413,9.02747594,AREA_A,6/5/2024
63,female,75000,7,delivered,30,7000,160,180,not_often,very good,7500,7.569499167,9.027024927,AREA_A,6/5/2024
64,female,40000,7,delivered,50,4000,100,120,not_often,very good,5000,7.566799352,9.024292647,AREA_A,6/5/2024
65,female,45000,6,delivered,40,5000,120,140,often,very good,5500,7.56690037,9.024048898,AREA_A,6/5/2024
66,female,90000,9,delivered,20,10000,200,220,often,good,10000,7.566756194,9.023704725,AREA_A,6/5/2024
67,female,50000,7,carried,50,4000,100,120,often,good,5000,7.566752588,9.02461799,AREA_A,6/5/2024
68,female,60000,6,carried,40,5000,120,140,often,good,5500,7.566306896,9.024616251,AREA_A,6/5/2024
69,female,NULL,NULL,delivered,50,4000,100,120,often,good,5000,7.566542243,9.024906525,AREA_A,6/5/2024
70,female,60000,9,delivered,20,9000,180,200,often,good,9000,7.566050428,9.025067368,AREA_A,6/5/2024
71,female,60000,7,delivered,60,3000,80,100,not_often,fair,2500,7.565702359,9.02568089,AREA_A,6/5/2024
72,female,60000,8,delivered,40,8000,140,160,not_often,fair,8500,7.566047392,9.025835958,AREA_A,6/5/2024
73,female,NULL,6,delivered,40,5000,120,140,often,fair,NULL,7.565910133,9.026043396,AREA_A,6/5/2024
74,female,60000,7,delivered,30,7000,160,180,often,fair,7500,7.565436615,9.026177183,AREA_A,6/5/2024
75,female,NULL,8,delivered,40,8000,140,160,often,good,NULL,7.565681559,9.026340902,AREA_A,6/5/2024
76,female,70000,7,delivered,30,7000,160,180,not_often,good,7500,7.565352001,9.026873114,AREA_A,6/5/2024
77,female,40000,7,delivered,60,3000,80,100,not_often,fair,3500,7.564850479,9.027187637,AREA_A,6/5/2024
78,female,45000,6,delivered,40,5000,120,140,not_often,good,5500,7.565204538,9.027360826,AREA_A,6/5/2024
79,female,95000,9,delivered,20,9000,180,200,often,fair,9000,7.565012453,9.027631346,AREA_A,6/5/2024
80,female,105000,7,delivered,20,9000,180,200,often,good,9000,7.564875121,9.027856868,AREA_A,6/5/2024
81,female,75000,9,delivered,20,9000,180,200,not_often,good,9000,7.564502191,9.027855411,AREA_A,6/5/2024
82,female,60000,6,delivered,40,5000,120,140,often,fair,5500,7.564874013,9.028137177,AREA_A,6/5/2024
83,female,105000,6,delivered,20,9000,180,200,often,good,9000,7.564736073,9.028516417,AREA_A,6/5/2024
84,female,95000,9,delivered,20,9000,180,200,not_often,fair,9000,7.564281172,9.028541766,AREA_A,6/5/2024
85,female,80000,7,delivered,30,7000,160,180,not_often,fair,7500,7.563629455,9.027734448,AREA_A,6/5/2024
86,female,45000,6,delivered,40,5000,120,140,not_often,fair,5500,7.564121311,9.027564566,AREA_A,6/5/2024
87,female,NULL,6,delivered,35,5000,120,140,often,good,NULL,7.563343579,9.026422188,AREA_A,6/5/2024
88,female,85000,9,delivered,20,9000,180,200,often,good,9000,7.563972727,9.026035827,AREA_A,6/5/2024
89,female,45000,6,delivered,40,5000,120,140,often,fair,5500,7.56477634,9.025234198,AREA_A,6/5/2024
90,female,45000,6,delivered,40,5000,120,140,not_often,good,5500,7.565086597,9.024982224,AREA_A,6/5/2024
91,female,45000,7,delivered,50,4000,100,120,not_often,good,5000,7.565743672,9.024433205,AREA_A,6/6/2024
92,female,NULL,7,delivered,60,3000,80,100,not_often,good,NULL,7.565443834,9.028953216,AREA_A,6/6/2024
93,female,45000,9,delivered,20,9000,180,200,not_often,fair,9000,7.565968572,9.029669613,AREA_A,6/6/2024
94,female,45000,9,delivered,20,9000,180,200,often,fair,9000,7.566051936,9.029290159,AREA_A,6/6/2024
95,female,45000,9,delivered,20,9000,180,200,not_often,very good,9000,7.565734009,9.029180409,AREA_A,6/6/2024
96,female,45000,6,delivered,20,10000,200,220,not_often,very good,10000,7.565839264,9.030166438,AREA_A,6/6/2024
97,female,NULL,NULL,delivered,60,3000,80,100,often,very good,NULL,7.566284892,9.030186263,AREA_A,6/6/2024
98,female,50000,7,delivered,50,4000,100,120,not_often,fair,5000,7.566641097,9.029816917,AREA_A,6/6/2024
99,female,80000,7,delivered,30,7000,160,180,not_often,fair,7500,7.566491275,9.030901416,AREA_A,6/6/2024
100,female,70000,8,delivered,40,8000,140,160,often,fair,8500,7.567894191,9.030364349,AREA_A,6/6/2024
101,female,NULL,9,delivered,20,9000,180,200,often,good,NULL,7.569027791,9.028921989,AREA_B,6/6/2024
102,female,105000,6,delivered,35,8000,140,160,often,fair,8500,7.568386405,9.03010404,AREA_B,6/6/2024
103,female,40000,7,delivered,60,3000,80,100,not_often,fair,3500,7.569462861,9.029312507,AREA_B,6/6/2024
104,female,65000,8,delivered,40,8000,140,160,often,fair,8500,7.569215917,9.029655155,AREA_B,6/6/2024
105,female,85000,9,delivered,20,9000,180,200,not_often,fair,9000,7.568821868,9.030395094,AREA_B,6/6/2024
106,female,60000,6,delivered,40,5000,120,140,not_often,good,5500,7.569177144,9.030260843,AREA_B,6/6/2024
107,female,75000,7,delivered,30,7000,160,180,not_often,very good,7500,7.569998985,9.029450231,AREA_B,6/6/2024
108,female,55000,8,delivered,40,8000,140,160,not_often,fair,8500,7.569357351,9.030695579,AREA_B,6/6/2024
109,female,95000,9,delivered,20,9000,180,200,often,good,9000,7.56934608,9.031247121,AREA_B,6/6/2024
110,female,75000,7,delivered,30,7000,160,180,not_often,good,7500,7.56894354,9.031833306,AREA_B,6/6/2024
111,female,85000,9,delivered,20,9000,180,200,not_often,fair,9000,7.568533865,9.031922132,AREA_B,6/6/2024
112,female,NULL,NULL,delivered,30,NULL,160,180,not_often,fair,NULL,7.568186576,9.032336727,AREA_B,6/6/2024
113,female,85000,6,delivered,35,5000,120,140,not_often,good,5500,7.568667628,9.032600832,AREA_B,6/6/2024
114,female,85000,7,carried,30,7000,160,180,often,good,7500,7.570624964,9.029868618,AREA_B,6/7/2024
115,female,NULL,NULL,delivered,40,NULL,140,160,often,fair,NULL,7.570230918,9.030608559,AREA_B,6/7/2024
116,female,85000,8,delivered,40,8000,140,160,often,fair,8500,7.571342616,9.030106513,AREA_B,6/7/2024
117,female,85000,7,carried,30,7000,160,180,not_often,good,7500,7.571057829,9.030819753,AREA_B,6/7/2024
118,female,85000,8,carried,40,8000,140,160,not_often,good,8500,7.570253929,9.031693734,AREA_B,6/7/2024
119,female,100000,6,delivered,20,10000,200,220,not_often,good,10000,7.569232613,9.032340806,AREA_B,6/7/2024
120,female,80000,9,delivered,20,9000,180,200,not_often,good,9000,7.570305511,9.032453495,AREA_B,6/7/2024
121,male,40000,7,delivered,45,3000,80,100,often,fair,2000,7.571977623,9.030543018,AREA_B,6/7/2024
122,female,50000,7,delivered,50,4000,100,120,often,fair,5000,7.571856172,9.031356361,AREA_B,6/7/2024
123,female,100000,6,carried,20,10000,200,220,not_often,good,10000,7.571363459,9.031743266,AREA_B,6/7/2024
124,female,100000,7,delivered,20,10000,200,220,often,good,10000,7.571103999,9.032953935,AREA_B,6/7/2024
125,female,40000,7,delivered,60,3000,80,100,not_often,good,3500,7.571852185,9.032369092,AREA_B,6/7/2024
126,female,100000,6,carried,20,10000,200,220,not_often,good,10000,7.57239319,9.031268026,AREA_B,6/7/2024
127,female,NULL,6,carried,40,NULL,120,140,often,good,NULL,7.573049665,9.030872713,AREA_B,6/7/2024
128,female,40000,7,carried,60,3000,80,100,not_often,fair,3500,7.572426122,9.032145265,AREA_B,6/7/2024
129,female,95000,9,carried,20,9000,180,200,often,good,9000,7.571813095,9.033056161,AREA_B,6/7/2024
130,female,45000,6,delivered,40,5000,120,140,not_often,good,5500,7.573027809,9.031803994,AREA_B,6/7/2024
131,female,85000,7,carried,30,7000,160,180,often,good,7500,7.572422919,9.032959068,AREA_B,6/7/2024
132,female,60000,6,delivered,40,5000,120,140,not_often,fair,5500,7.573271658,9.032248019,AREA_B,6/7/2024
133,female,75000,7,delivered,30,7000,160,180,often,good,7500,7.573669393,9.032882532,AREA_B,6/7/2024
134,female,80000,7,carried,30,7000,160,180,not_often,good,7500,7.573183747,9.033784884,AREA_B,6/7/2024
135,female,95000,9,carried,20,10000,200,220,often,fair,10000,7.574180795,9.032369103,AREA_B,6/7/2024
136,female,NULL,9,delivered,20,NULL,180,200,not_often,good,NULL,7.57442788,9.031990282,AREA_B,6/7/2024
137,female,95000,7,carried,20,9000,180,200,not_often,fair,9000,7.57486296,9.032380794,AREA_B,6/7/2024
138,female,95000,8,delivered,40,8000,140,160,often,good,8500,7.574414803,9.033002979,AREA_B,6/7/2024
139,female,95000,6,delivered,40,5000,120,140,not_often,good,5500,7.574011344,9.03382427,AREA_B,6/7/2024
140,female,NULL,NULL,delivered,40,NULL,120,140,often,fair,NULL,7.574572882,9.029811628,AREA_B,6/7/2024
141,female,95000,7,carried,30,7000,160,180,often,fair,7500,7.574270335,9.030416293,AREA_B,6/7/2024
142,female,75000,9,delivered,20,9000,180,200,often,good,9000,7.573922059,9.031084078,AREA_B,6/10/2024
143,female,95000,9,delivered,20,9000,180,200,often,good,9000,7.57481595,9.030454581,AREA_B,6/10/2024
144,female,60000,6,carried,40,5000,120,140,not_often,good,5500,7.574685871,9.031150341,AREA_B,6/10/2024
145,female,75000,7,carried,30,7000,160,180,not_often,good,7500,7.575462935,9.030158693,AREA_B,6/10/2024
146,female,40000,7,delivered,60,3000,80,100,not_often,good,3500,7.575915922,9.030621613,AREA_B,6/10/2024
147,female,65000,8,delivered,40,8000,140,160,often,good,8500,7.575359293,9.031071573,AREA_B,6/10/2024
148,female,85000,9,carried,20,9000,180,200,not_often,fair,9000,7.57543931,9.031542089,AREA_B,6/10/2024
149,female,40000,7,delivered,60,3000,80,100,not_often,fair,3500,7.570067019,9.032958939,AREA_B,6/10/2024
150,female,45000,6,carried,40,5000,120,140,not_often,good,5500,7.572336891,9.034016692,AREA_B,6/10/2024
151,female,65000,8,delivered,35,8000,140,160,often,good,8500,7.573608308,9.034537053,AREA_B,6/10/2024
152,female,40000,7,delivered,60,3000,80,100,often,fair,3500,7.572406455,9.034830778,AREA_B,6/10/2024
153,female,NULL,9,delivered,20,9000,180,200,often,good,NULL,7.570971631,9.034228396,AREA_B,6/10/2024
154,female,40000,8,delivered,40,8000,140,160,often,good,8500,7.570372363,9.03395479,AREA_B,6/10/2024
155,female,40000,7,delivered,30,7000,160,180,often,fair,7500,7.569283194,9.033353749,AREA_B,6/10/2024
156,female,40000,7,delivered,20,9000,180,200,not_often,fair,9000,7.573360438,9.035114802,AREA_B,6/10/2024
157,female,40000,8,delivered,40,8000,140,160,not_often,fair,8500,7.572977087,9.03544788,AREA_B,6/10/2024
158,female,90000,9,delivered,20,9000,180,200,often,fair,9000,7.57194827,9.035688021,AREA_B,6/10/2024
159,female,105000,9,delivered,20,10000,200,220,often,fair,10000,7.571340365,9.035296833,AREA_B,6/10/2024
160,female,70000,8,delivered,40,8000,140,160,not_often,fair,8500,7.571041549,9.034952059,AREA_B,6/11/2024
161,female,70000,NULL,delivered,35,5000,120,140,often,fair,NULL,7.570559601,9.034914012,AREA_B,6/11/2024
162,female,70000,8,delivered,40,8000,140,160,often,good,8500,7.569740814,9.034946991,AREA_B,6/11/2024
163,female,70000,9,delivered,20,9000,180,200,not_often,good,9000,7.569041989,9.034546402,AREA_B,6/11/2024
164,female,70000,6,delivered,20,10000,200,220,often,fair,10000,7.568774921,9.035377259,AREA_B,6/11/2024
165,female,105000,7,delivered,30,7000,160,180,often,good,7500,7.570364555,9.035935041,AREA_B,6/11/2024
166,female,40000,7,delivered,50,3000,80,100,often,good,2500,7.571645428,9.036365021,AREA_B,6/11/2024
167,female,100000,6,delivered,20,10000,200,220,not_often,fair,10000,7.572527143,9.036522173,AREA_B,6/11/2024
168,female,40000,7,delivered,60,3000,80,100,not_often,fair,3500,7.572232828,9.037343885,AREA_B,6/11/2024
169,female,50000,7,delivered,50,4000,100,120,not_often,fair,5000,7.571350433,9.037358535,AREA_B,6/11/2024
170,female,55000,6,delivered,40,5000,120,140,often,good,5500,7.570979667,9.036805506,AREA_B,6/11/2024
171,female,70000,8,delivered,35,8000,140,160,not_often,fair,8500,7.570396839,9.03697504,AREA_B,6/11/2024
172,female,50000,7,delivered,60,3000,80,100,often,fair,3500,7.569560462,9.036854229,AREA_B,6/11/2024
173,female,80000,7,delivered,30,7000,160,180,often,good,7500,7.568326179,9.03614411,AREA_B,6/11/2024
174,female,NULL,NULL,delivered,40,NULL,140,160,not_often,fair,NULL,7.568649497,9.037194286,AREA_B,6/11/2024
175,female,80000,9,delivered,20,9000,180,200,often,fair,9000,7.568474136,9.03783561,AREA_B,6/11/2024
176,female,80000,6,delivered,20,9000,180,200,not_often,good,9000,7.569567204,9.037451052,AREA_B,6/11/2024
177,female,80000,7,delivered,50,10000,200,220,often,good,10000,7.570313192,9.037426833,AREA_B,6/11/2024
178,female,80000,7,delivered,30,7000,160,180,often,fair,7500,7.571112402,9.03774643,AREA_B,6/11/2024
179,female,NULL,8,delivered,40,8000,140,160,not_often,good,NULL,7.571765613,9.038183008,AREA_B,6/11/2024
180,female,80000,6,delivered,40,5000,120,140,not_often,fair,5500,7.57163588,9.038788343,AREA_B,6/11/2024
181,female,80000,7,delivered,30,7000,160,180,not_often,fair,7500,7.570472536,9.038539666,AREA_B,6/11/2024
182,female,50000,7,delivered,30,7000,160,180,often,good,7500,7.570470467,9.039064116,AREA_B,6/12/2024
183,female,60000,6,delivered,40,5000,120,140,not_often,fair,5500,7.569945102,9.038501441,AREA_B,6/12/2024
184,female,50000,7,delivered,50,4000,100,120,not_often,good,5000,7.5694502,9.039439918,AREA_B,6/12/2024
185,female,NULL,NULL,carried,40,8000,140,160,not_often,good,NULL,7.567977409,9.039235239,AREA_B,6/12/2024
186,female,95000,8,carried,35,8000,140,160,not_often,good,8500,7.567802045,9.039876562,AREA_B,6/12/2024
187,female,95000,9,delivered,20,9000,180,200,often,good,9000,7.568410416,9.040150208,AREA_B,6/12/2024
188,female,65000,8,delivered,40,8000,140,160,not_often,good,8500,7.567899351,9.040573204,AREA_B,6/12/2024
189,female,45000,6,delivered,40,5000,120,140,not_often,good,5500,7.569838373,9.040191949,AREA_B,6/12/2024
190,female,40000,7,delivered,60,3000,80,100,not_often,fair,3500,7.569488649,9.041221415,AREA_B,6/12/2024
191,female,55000,6,carried,40,5000,120,140,not_often,fair,5500,7.569245864,9.042811926,AREA_B,6/12/2024
192,female,55000,6,delivered,40,5000,120,140,often,fair,5500,7.568626081,9.040820185,AREA_B,6/12/2024
193,female,85000,9,delivered,40,9000,180,200,often,fair,9000,7.567914506,9.041341864,AREA_B,6/12/2024
194,female,90000,8,delivered,40,8000,140,160,often,fair,8500,7.567611436,9.042073112,AREA_B,6/12/2024
195,female,60000,6,carried,40,5000,120,140,often,good,5500,7.568466588,9.042049325,AREA_B,6/12/2024
196,female,100000,7,carried,20,10000,200,220,not_often,good,10000,7.567107247,9.04305676,AREA_B,6/12/2024
197,female,100000,9,carried,20,10000,200,220,often,good,10000,7.568063638,9.042734971,AREA_B,6/12/2024
198,female,40000,7,delivered,60,3000,80,100,often,good,3500,7.568334382,9.043278571,AREA_B,6/12/2024
199,female,NULL,6,delivered,40,NULL,120,140,not_often,fair,NULL,7.569388333,9.043590125,AREA_B,6/12/2024
200,female,75000,7,delivered,30,7000,160,180,often,good,7500,7.568805386,9.043786782,AREA_B,6/13/2024
201,female,95000,9,delivered,50,9000,180,200,not_often,good,9000,7.576224368,9.030830785,AREA_C,6/13/2024
202,female,55000,6,delivered,40,5000,120,140,often,good,5500,7.576104559,9.031228186,AREA_C,6/13/2024
203,female,65000,7,delivered,30,7000,160,180,not_often,good,7500,7.57589418,9.031525769,AREA_C,6/13/2024
204,female,105000,6,carried,20,9000,180,200,often,fair,9000,7.575628977,9.031886436,AREA_C,6/13/2024
205,male,65000,8,carried,40,8000,140,160,often,good,8500,7.57657943,9.03075078,AREA_C,6/13/2024
206,male,60000,6,delivered,40,5000,120,140,not_often,fair,5500,7.576887771,9.030987078,AREA_C,6/13/2024
207,female,NULL,7,carried,30,NULL,160,180,often,fair,NULL,7.576568561,9.031202858,AREA_C,6/13/2024
208,male,105000,7,carried,20,9000,180,200,often,good,9000,7.576576273,9.031555542,AREA_C,6/13/2024
209,female,45000,6,carried,40,5000,120,140,often,good,5500,7.577341471,9.031269151,AREA_C,6/13/2024
210,female,80000,7,delivered,30,7000,160,180,not_often,fair,7500,7.57700421,9.031448692,AREA_C,6/13/2024
211,female,80000,7,carried,30,7000,160,180,not_often,good,7500,7.577531458,9.031532117,AREA_C,6/13/2024
212,female,95000,9,delivered,20,9000,180,200,not_often,good,9000,7.576264809,9.032114963,AREA_C,6/13/2024
213,female,85000,9,delivered,35,9000,180,200,often,fair,9000,7.576810179,9.032216544,AREA_C,6/13/2024
214,female,40000,7,carried,60,3000,80,100,often,good,3500,7.576963179,9.032633088,AREA_C,6/13/2024
215,female,100000,7,carried,30,7000,160,180,not_often,fair,7500,7.575418064,9.032319653,AREA_C,6/13/2024
216,female,NULL,NULL,carried,20,NULL,180,200,not_often,fair,NULL,7.575143586,9.032725495,AREA_C,6/14/2024
217,female,95000,9,carried,20,9000,180,200,often,fair,9000,7.574924003,9.033050169,AREA_C,6/14/2024
218,female,95000,9,carried,20,9000,180,200,often,good,9000,7.574749331,9.033519695,AREA_C,6/14/2024
219,female,95000,7,carried,50,4000,100,120,often,fair,5000,7.57520502,9.033295405,AREA_C,6/14/2024
220,female,NULL,9,delivered,50,9000,180,200,often,good,NULL,7.575872616,9.032384713,AREA_C,6/14/2024
221,female,95000,7,carried,30,7000,160,180,often,fair,7500,7.57577082,9.032827396,AREA_C,6/14/2024
222,female,50000,7,carried,50,4000,100,120,often,fair,5000,7.575559517,9.033360077,AREA_C,6/14/2024
223,female,75000,7,carried,30,7000,160,180,not_often,fair,7500,7.575248866,9.033711525,AREA_C,6/14/2024
224,female,80000,7,delivered,30,7000,160,180,often,good,7500,7.575931957,9.033488116,AREA_C,6/14/2024
225,female,75000,7,delivered,30,7000,160,180,often,good,7500,7.575620241,9.034110832,AREA_C,6/14/2024
226,female,80000,7,delivered,30,7000,160,180,often,fair,7500,7.576028818,9.034302308,AREA_C,6/14/2024
227,female,NULL,9,carried,20,9000,180,200,often,fair,NULL,7.576422894,9.033553318,AREA_C,6/17/2024
228,female,80000,7,delivered,30,7000,160,180,often,fair,7500,7.576534105,9.03302929,AREA_C,6/17/2024
229,female,100000,6,delivered,20,10000,200,220,not_often,fair,10000,7.575735897,9.034771376,AREA_C,6/17/2024
230,female,55000,6,carried,40,5000,120,140,not_often,fair,5500,7.575569859,9.035358488,AREA_C,6/17/2024
231,female,60000,6,delivered,40,5000,120,140,often,good,5500,7.575354218,9.034679471,AREA_C,6/17/2024
232,female,NULL,7,delivered,50,NULL,100,120,often,good,NULL,7.574861574,9.035048296,AREA_C,6/17/2024
233,female,45000,6,delivered,40,5000,120,140,often,very good,5500,7.57500068,9.034370656,AREA_C,6/17/2024
234,female,95000,9,delivered,20,9000,180,200,not_often,fair,9000,7.574544526,9.034712496,AREA_C,6/17/2024
235,male,50000,6,carried,40,5000,120,140,not_often,fair,5500,7.574246027,9.034286344,AREA_C,6/17/2024
236,female,65000,8,delivered,40,8000,140,160,not_often,good,8500,7.573778822,9.035125471,AREA_C,6/17/2024
237,female,90000,9,delivered,20,9000,180,200,not_often,fair,9000,7.575067727,9.035826743,AREA_C,6/17/2024
238,male,NULL,9,delivered,20,NULL,180,200,not_often,good,NULL,7.573403749,9.035666556,AREA_C,6/17/2024
239,female,55000,6,delivered,40,5000,120,140,often,fair,5500,7.574512439,9.035933094,AREA_C,6/17/2024
240,male,105000,6,delivered,20,9000,180,200,not_often,good,9000,7.575457154,9.03626229,AREA_C,6/17/2024
241,female,55000,6,delivered,40,5000,120,140,not_often,fair,5500,7.573018653,9.036442704,AREA_C,6/17/2024
242,female,105000,9,delivered,20,9000,180,200,not_often,fair,9000,7.573471572,9.036923712,AREA_C,6/17/2024
243,female,95000,9,delivered,20,9000,180,200,not_often,good,9000,7.573952812,9.0371426,AREA_C,6/18/2024
244,male,100000,6,delivered,20,9000,180,200,not_often,good,9000,7.574877382,9.037969051,AREA_C,6/18/2024
245,male,NULL,9,delivered,20,NULL,180,200,not_often,good,NULL,7.575504376,9.038134249,AREA_C,6/18/2024
246,female,70000,8,delivered,40,8000,140,160,often,fair,8500,7.576105219,9.038009989,AREA_C,6/18/2024
247,male,100000,5,delivered,20,10000,200,220,often,good,10000,7.573567822,9.037891622,AREA_C,6/18/2024
248,male,60000,6,delivered,40,5000,120,140,not_often,fair,5500,7.572978033,9.03751859,AREA_C,6/18/2024
